DateTime,Date,HourOfDay,MinuteOfDay,DayOfWeek,Demand,Generation,Wind,CO2,NetImports,EWIC,Moyle
2017-01-29T00:00:00Z,29/01/17,0,0,Wed,3834,4041,449,552,-145,-33,-112
2017-01-29T00:15:00Z,29/01/17,0,15,Wed,3785,4041,505,548,-200,-108,-92
2017-01-29T00:30:00Z,29/01/17,0,30,Wed,3708,4130,521,544,-294,-183,-111
2017-01-29T00:45:00Z,29/01/17,0,45,Wed,3634,4181,492,543,-419,-258,-161
2017-01-29T01:00:00Z,29/01/17,1,0,Wed,3581,4211,538,555,-503,-333,-170
2017-01-29T01:15:00Z,29/01/17,1,15,Wed,3552,4278,561,531,-598,-379,-219
2017-01-29T01:30:00Z,29/01/17,1,30,Wed,3491,4133,484,545,-516,-374,-142
2017-01-29T01:45:00Z,29/01/17,1,45,Wed,3435,4143,474,551,-581,-365,-216
2017-01-29T02:00:00Z,29/01/17,2,0,Wed,3374,4158,442,550,-653,-373,-280
2017-01-29T02:15:00Z,29/01/17,2,15,Wed,3329,4135,421,550,-676,-377,-299
2017-01-29T02:30:00Z,29/01/17,2,30,Wed,3299,4122,415,553,-693,-394,-299
2017-01-29T02:45:00Z,29/01/17,2,45,Wed,3256,4146,401,558,-761,-469,-292
2017-01-29T03:00:00Z,29/01/17,3,0,Wed,3228,4205,411,552,-774,-491,-283
2017-01-29T03:15:00Z,29/01/17,3,15,Wed,3209,4194,394,553,-784,-500,-284
2017-01-29T03:30:00Z,29/01/17,3,30,Wed,3187,4171,380,572,-785,-500,-285
2017-01-29T03:45:00Z,29/01/17,3,45,Wed,3172,4084,377,566,-710,-500,-210
2017-01-29T04:00:00Z,29/01/17,4,0,Wed,3160,3993,392,568,-633,-498,-135
2017-01-29T04:15:00Z,29/01/17,4,15,Wed,3147,3971,380,572,-627,-494,-133
2017-01-29T04:30:00Z,29/01/17,4,30,Wed,3123,3946,396,571,-625,-491,-134
2017-01-29T04:45:00Z,29/01/17,4,45,Wed,3112,3931,409,572,-625,-491,-134
2017-01-29T05:00:00Z,29/01/17,5,0,Wed,3109,3929,416,564,-624,-491,-133
2017-01-29T05:15:00Z,29/01/17,5,15,Wed,3101,3981,424,561,-684,-500,-184
2017-01-29T05:30:00Z,29/01/17,5,30,Wed,3093,3972,454,560,-683,-500,-183
2017-01-29T05:45:00Z,29/01/17,5,45,Wed,3092,3969,474,573,-683,-500,-183
2017-01-29T06:00:00Z,29/01/17,6,0,Wed,3109,3987,501,563,-683,-500,-183
2017-01-29T06:15:00Z,29/01/17,6,15,Wed,3155,4110,521,560,-759,-500,-259
2017-01-29T06:30:00Z,29/01/17,6,30,Wed,3167,4096,546,567,-732,-477,-255
2017-01-29T06:45:00Z,29/01/17,6,45,Wed,3191,4110,583,581,-723,-470,-253
2017-01-29T07:00:00Z,29/01/17,7,0,Wed,3228,4143,592,566,-722,-470,-252
2017-01-29T07:15:00Z,29/01/17,7,15,Wed,3290,4142,574,571,-660,-470,-190
2017-01-29T07:30:00Z,29/01/17,7,30,Wed,3334,4043,599,574,-586,-396,-190
2017-01-29T07:45:00Z,29/01/17,7,45,Wed,3381,4022,561,574,-589,-391,-198
2017-01-29T08:00:00Z,29/01/17,8,0,Wed,3370,3817,534,588,-464,-344,-120
2017-01-29T08:15:00Z,29/01/17,8,15,Wed,3366,3803,547,594,-454,-335,-119
2017-01-29T08:30:00Z,29/01/17,8,30,Wed,3412,3852,553,603,-455,-335,-120
2017-01-29T08:45:00Z,29/01/17,8,45,Wed,3504,3936,573,593,-446,-335,-111
2017-01-29T09:00:00Z,29/01/17,9,0,Wed,3605,4018,550,607,-428,-308,-120
2017-01-29T09:15:00Z,29/01/17,9,15,Wed,3747,4159,581,600,-428,-233,-195
2017-01-29T09:30:00Z,29/01/17,9,30,Wed,3843,4115,561,600,-289,-158,-131
2017-01-29T09:45:00Z,29/01/17,9,45,Wed,3957,4163,560,589,-224,-158,-66
2017-01-29T10:00:00Z,29/01/17,10,0,Wed,4051,4126,570,582,-91,-129,38
2017-01-29T10:15:00Z,29/01/17,10,15,Wed,4165,4203,589,576,-57,-96,39
2017-01-29T10:30:00Z,29/01/17,10,30,Wed,4219,4143,633,571,58,-21,79
2017-01-29T10:45:00Z,29/01/17,10,45,Wed,4289,4122,652,554,150,-4,154
2017-01-29T11:00:00Z,29/01/17,11,0,Wed,4342,4156,633,547,173,-1,174
2017-01-29T11:15:00Z,29/01/17,11,15,Wed,4414,4209,639,547,190,1,189
2017-01-29T11:30:00Z,29/01/17,11,30,Wed,4483,4289,609,540,176,1,175
2017-01-29T11:45:00Z,29/01/17,11,45,Wed,4506,4326,600,548,165,-10,175
2017-01-29T12:00:00Z,29/01/17,12,0,Wed,4568,4386,564,543,166,-10,176
2017-01-29T12:15:00Z,29/01/17,12,15,Wed,4612,4478,534,527,116,-23,139
2017-01-29T12:30:00Z,29/01/17,12,30,Wed,4668,4494,512,530,157,18,139
2017-01-29T12:45:00Z,29/01/17,12,45,Wed,4707,4513,464,534,175,19,156
2017-01-29T13:00:00Z,29/01/17,13,0,Wed,4715,4566,435,540,131,19,112
2017-01-29T13:15:00Z,29/01/17,13,15,Wed,4711,4550,410,554,146,34,112
2017-01-29T13:30:00Z,29/01/17,13,30,Wed,4669,4514,396,551,138,35,103
2017-01-29T13:45:00Z,29/01/17,13,45,Wed,4616,4520,400,540,82,35,47
2017-01-29T14:00:00Z,29/01/17,14,0,Wed,4577,4482,365,545,82,35,47
2017-01-29T14:15:00Z,29/01/17,14,15,Wed,4543,4563,330,565,-38,10,-48
2017-01-29T14:30:00Z,29/01/17,14,30,Wed,4529,4522,333,576,-10,10,-20
2017-01-29T14:45:00Z,29/01/17,14,45,Wed,4494,4564,316,572,-83,-64,-19
2017-01-29T15:00:00Z,29/01/17,15,0,Wed,4483,4575,315,569,-110,-91,-19
2017-01-29T15:15:00Z,29/01/17,15,15,Wed,4486,4586,307,579,-119,-136,17
2017-01-29T15:30:00Z,29/01/17,15,30,Wed,4468,4530,313,578,-81,-136,55
2017-01-29T15:45:00Z,29/01/17,15,45,Wed,4466,4568,308,572,-120,-176,56
2017-01-29T16:00:00Z,29/01/17,16,0,Wed,4484,4531,301,585,-67,-176,109
2017-01-29T16:15:00Z,29/01/17,16,15,Wed,4528,4507,296,583,2,-180,182
2017-01-29T16:30:00Z,29/01/17,16,30,Wed,4577,4478,300,587,79,-180,259
2017-01-29T16:45:00Z,29/01/17,16,45,Wed,4665,4621,303,580,22,-240,262
2017-01-29T17:00:00Z,29/01/17,17,0,Wed,4799,4663,303,571,115,-165,280
2017-01-29T17:15:00Z,29/01/17,17,15,Wed,4987,4700,272,575,266,-90,356
2017-01-29T17:30:00Z,29/01/17,17,30,Wed,5147,4712,273,590,413,-15,428
2017-01-29T17:45:00Z,29/01/17,17,45,Wed,5221,4785,267,576,415,-14,429
2017-01-29T18:00:00Z,29/01/17,18,0,Wed,5269,4816,277,571,429,-14,443
2017-01-29T18:15:00Z,29/01/17,18,15,Wed,5248,4722,269,571,505,60,445
2017-01-29T18:30:00Z,29/01/17,18,30,Wed,5218,4619,253,576,579,135,444
2017-01-29T18:45:00Z,29/01/17,18,45,Wed,5163,4533,254,572,608,163,445
2017-01-29T19:00:00Z,29/01/17,19,0,Wed,5118,4509,275,566,585,141,444
2017-01-29T19:15:00Z,29/01/17,19,15,Wed,5049,4442,268,575,584,140,444
2017-01-29T19:30:00Z,29/01/17,19,30,Wed,4971,4363,296,558,585,140,445
2017-01-29T19:45:00Z,29/01/17,19,45,Wed,4919,4306,327,547,594,169,425
2017-01-29T20:00:00Z,29/01/17,20,0,Wed,4857,4232,344,555,605,165,440
2017-01-29T20:15:00Z,29/01/17,20,15,Wed,4802,4228,351,551,553,110,443
2017-01-29T20:30:00Z,29/01/17,20,30,Wed,4694,4121,348,551,553,110,443
2017-01-29T20:45:00Z,29/01/17,20,45,Wed,4645,4103,403,549,518,75,443
2017-01-29T21:00:00Z,29/01/17,21,0,Wed,4571,4024,422,542,522,79,443
2017-01-29T21:15:00Z,29/01/17,21,15,Wed,4519,4019,432,540,482,40,442
2017-01-29T21:30:00Z,29/01/17,21,30,Wed,4422,3918,399,554,483,40,443
2017-01-29T21:45:00Z,29/01/17,21,45,Wed,4302,3857,396,553,425,38,387
2017-01-29T22:00:00Z,29/01/17,22,0,Wed,4209,3838,370,556,352,38,314
2017-01-29T22:15:00Z,29/01/17,22,15,Wed,4122,3774,364,558,329,15,314
2017-01-29T22:30:00Z,29/01/17,22,30,Wed,3999,3661,363,575,317,2,315
2017-01-29T22:45:00Z,29/01/17,22,45,Wed,3929,3737,334,572,170,-73,243
2017-01-29T23:00:00Z,29/01/17,23,0,Wed,3901,3861,341,564,19,-148,167
2017-01-29T23:15:00Z,29/01/17,23,15,Wed,3915,4023,368,552,-126,-223,97
2017-01-29T23:30:00Z,29/01/17,23,30,Wed,3826,3983,413,550,-180,-278,98
2017-01-29T23:45:00Z,29/01/17,23,45,Wed,3739,3975,451,557,-260,-352,92
2017-01-30T00:00:00Z,30/01/17,0,0,Thurs,3652,3995,491,539,-363,-382,19
2017-01-30T00:15:00Z,30/01/17,0,15,Thurs,3599,4040,526,532,-461,-382,-79
2017-01-30T00:30:00Z,30/01/17,0,30,Thurs,3501,3941,590,538,-462,-382,-80
2017-01-30T00:45:00Z,30/01/17,0,45,Thurs,3417,4149,643,522,-529,-382,-147
2017-01-30T01:00:00Z,30/01/17,1,0,Thurs,3389,4121,723,529,-529,-382,-147
2017-01-30T01:15:00Z,30/01/17,1,15,Thurs,3344,4139,740,518,-589,-382,-207
2017-01-30T01:30:00Z,30/01/17,1,30,Thurs,3277,4115,767,522,-634,-447,-187
2017-01-30T01:45:00Z,30/01/17,1,45,Thurs,3215,4049,829,517,-631,-448,-183
2017-01-30T02:00:00Z,30/01/17,2,0,Thurs,3179,4061,844,524,-682,-499,-183
2017-01-30T02:15:00Z,30/01/17,2,15,Thurs,3154,4118,835,517,-764,-500,-264
2017-01-30T02:30:00Z,30/01/17,2,30,Thurs,3123,4118,858,515,-796,-500,-296
2017-01-30T02:45:00Z,30/01/17,2,45,Thurs,3102,4102,820,521,-799,-500,-299
2017-01-30T03:00:00Z,30/01/17,3,0,Thurs,3087,4014,810,526,-728,-500,-228
2017-01-30T03:15:00Z,30/01/17,3,15,Thurs,3068,3994,800,532,-728,-500,-228
2017-01-30T03:30:00Z,30/01/17,3,30,Thurs,3055,3980,853,532,-727,-500,-227
2017-01-30T03:45:00Z,30/01/17,3,45,Thurs,3052,4046,923,525,-796,-500,-296
2017-01-30T04:00:00Z,30/01/17,4,0,Thurs,3041,4026,960,522,-789,-500,-289
2017-01-30T04:15:00Z,30/01/17,4,15,Thurs,3045,4030,1012,518,-788,-500,-288
2017-01-30T04:30:00Z,30/01/17,4,30,Thurs,3040,4028,1143,483,-789,-500,-289
2017-01-30T04:45:00Z,30/01/17,4,45,Thurs,3046,4040,1226,465,-798,-500,-298
2017-01-30T05:00:00Z,30/01/17,5,0,Thurs,3070,4062,1170,471,-798,-500,-298
2017-01-30T05:15:00Z,30/01/17,5,15,Thurs,3133,4124,1132,474,-797,-500,-297
2017-01-30T05:30:00Z,30/01/17,5,30,Thurs,3140,4121,1099,485,-789,-500,-289
2017-01-30T05:45:00Z,30/01/17,5,45,Thurs,3181,4157,1068,501,-789,-500,-289
2017-01-30T06:00:00Z,30/01/17,6,0,Thurs,3288,4236,1075,492,-761,-472,-289
2017-01-30T06:15:00Z,30/01/17,6,15,Thurs,3468,4348,1097,492,-690,-397,-293
2017-01-30T06:30:00Z,30/01/17,6,30,Thurs,3564,4374,1079,498,-616,-322,-294
2017-01-30T06:45:00Z,30/01/17,6,45,Thurs,3774,4508,1227,475,-540,-247,-293
2017-01-30T07:00:00Z,30/01/17,7,0,Thurs,4001,4603,1354,465,-411,-172,-239
2017-01-30T07:15:00Z,30/01/17,7,15,Thurs,4346,4792,1560,441,-259,-97,-162
2017-01-30T07:30:00Z,30/01/17,7,30,Thurs,4521,4752,1618,437,-110,-22,-88
2017-01-30T07:45:00Z,30/01/17,7,45,Thurs,4724,4716,1652,420,-3,-21,18
2017-01-30T08:00:00Z,30/01/17,8,0,Thurs,4841,4698,1700,421,121,30,91
2017-01-30T08:15:00Z,30/01/17,8,15,Thurs,4872,4691,1670,417,163,30,133
2017-01-30T08:30:00Z,30/01/17,8,30,Thurs,4849,4664,1670,419,163,30,133
2017-01-30T08:45:00Z,30/01/17,8,45,Thurs,4853,4716,1706,414,116,10,106
2017-01-30T09:00:00Z,30/01/17,9,0,Thurs,4904,4766,1763,412,115,10,105
2017-01-30T09:15:00Z,30/01/17,9,15,Thurs,5002,4940,1857,405,39,-46,85
2017-01-30T09:30:00Z,30/01/17,9,30,Thurs,5049,4940,1884,397,87,-21,108
2017-01-30T09:45:00Z,30/01/17,9,45,Thurs,5068,4906,1950,389,141,30,111
2017-01-30T10:00:00Z,30/01/17,10,0,Thurs,5072,4908,2014,384,142,30,112
2017-01-30T10:15:00Z,30/01/17,10,15,Thurs,5070,4988,2128,384,61,-26,87
2017-01-30T10:30:00Z,30/01/17,10,30,Thurs,5088,5014,2136,372,52,-35,87
2017-01-30T10:45:00Z,30/01/17,10,45,Thurs,5104,5064,2166,383,20,-61,81
2017-01-30T11:00:00Z,30/01/17,11,0,Thurs,5128,5093,2189,373,12,-61,73
2017-01-30T11:15:00Z,30/01/17,11,15,Thurs,5147,5177,2225,366,-50,-68,18
2017-01-30T11:30:00Z,30/01/17,11,30,Thurs,5169,5201,2336,352,-51,-68,17
2017-01-30T11:45:00Z,30/01/17,11,45,Thurs,5188,5247,2395,358,-80,-97,17
2017-01-30T12:00:00Z,30/01/17,12,0,Thurs,5197,5253,2410,354,-79,-97,18
2017-01-30T12:15:00Z,30/01/17,12,15,Thurs,5256,5423,2424,345,-186,-171,-15
2017-01-30T12:30:00Z,30/01/17,12,30,Thurs,5271,5437,2458,345,-187,-173,-14
2017-01-30T12:45:00Z,30/01/17,12,45,Thurs,5276,5441,2467,348,-188,-173,-15
2017-01-30T13:00:00Z,30/01/17,13,0,Thurs,5272,5432,2476,346,-187,-173,-14
2017-01-30T13:15:00Z,30/01/17,13,15,Thurs,5202,5442,2408,359,-262,-247,-15
2017-01-30T13:30:00Z,30/01/17,13,30,Thurs,5150,5426,2303,369,-302,-287,-15
2017-01-30T13:45:00Z,30/01/17,13,45,Thurs,5146,5499,2319,363,-374,-287,-87
2017-01-30T14:00:00Z,30/01/17,14,0,Thurs,5167,5522,2343,368,-397,-287,-110
2017-01-30T14:15:00Z,30/01/17,14,15,Thurs,5217,5610,2455,366,-419,-287,-132
2017-01-30T14:30:00Z,30/01/17,14,30,Thurs,5194,5598,2396,361,-421,-287,-134
2017-01-30T14:45:00Z,30/01/17,14,45,Thurs,5213,5615,2471,364,-421,-287,-134
2017-01-30T15:00:00Z,30/01/17,15,0,Thurs,5241,5641,2484,374,-421,-287,-134
2017-01-30T15:15:00Z,30/01/17,15,15,Thurs,5269,5670,2418,377,-421,-287,-134
2017-01-30T15:30:00Z,30/01/17,15,30,Thurs,5294,5637,2456,372,-362,-287,-75
2017-01-30T15:45:00Z,30/01/17,15,45,Thurs,5331,5655,2513,373,-347,-287,-60
2017-01-30T16:00:00Z,30/01/17,16,0,Thurs,5395,5615,2560,359,-243,-287,44
2017-01-30T16:15:00Z,30/01/17,16,15,Thurs,5464,5650,2514,366,-209,-287,78
2017-01-30T16:30:00Z,30/01/17,16,30,Thurs,5575,5760,2534,361,-209,-287,78
2017-01-30T16:45:00Z,30/01/17,16,45,Thurs,5693,5821,2488,362,-152,-287,135
2017-01-30T17:00:00Z,30/01/17,17,0,Thurs,5820,5859,2470,363,-63,-271,208
2017-01-30T17:15:00Z,30/01/17,17,15,Thurs,5983,5868,2487,355,89,-196,285
2017-01-30T17:30:00Z,30/01/17,17,30,Thurs,6074,5864,2496,359,185,-121,306
2017-01-30T17:45:00Z,30/01/17,17,45,Thurs,6069,5838,2431,354,206,-100,306
2017-01-30T18:00:00Z,30/01/17,18,0,Thurs,6030,5795,2346,353,214,-51,265
2017-01-30T18:15:00Z,30/01/17,18,15,Thurs,5934,5679,2330,352,232,-28,260
2017-01-30T18:30:00Z,30/01/17,18,30,Thurs,5854,5600,2270,354,232,-28,260
2017-01-30T18:45:00Z,30/01/17,18,45,Thurs,5764,5585,2187,359,157,-102,259
2017-01-30T19:00:00Z,30/01/17,19,0,Thurs,5716,5596,2136,359,94,-156,250
2017-01-30T19:15:00Z,30/01/17,19,15,Thurs,5630,5588,2074,368,18,-231,249
2017-01-30T19:30:00Z,30/01/17,19,30,Thurs,5570,5541,2033,364,6,-244,250
2017-01-30T19:45:00Z,30/01/17,19,45,Thurs,5472,5446,2004,375,4,-244,248
2017-01-30T20:00:00Z,30/01/17,20,0,Thurs,5402,5444,1920,373,-67,-287,220
2017-01-30T20:15:00Z,30/01/17,20,15,Thurs,5317,5364,1942,373,-70,-287,217
2017-01-30T20:30:00Z,30/01/17,20,30,Thurs,5249,5298,1886,382,-73,-287,214
2017-01-30T20:45:00Z,30/01/17,20,45,Thurs,5192,5315,1877,382,-149,-287,138
2017-01-30T21:00:00Z,30/01/17,21,0,Thurs,5117,5318,1824,382,-223,-287,64
2017-01-30T21:15:00Z,30/01/17,21,15,Thurs,4996,5284,1822,384,-308,-287,-21
2017-01-30T21:30:00Z,30/01/17,21,30,Thurs,4875,5182,1773,391,-326,-287,-39
2017-01-30T21:45:00Z,30/01/17,21,45,Thurs,4752,5064,1723,392,-333,-287,-46
2017-01-30T22:00:00Z,30/01/17,22,0,Thurs,4568,4821,1639,407,-268,-287,19
2017-01-30T22:15:00Z,30/01/17,22,15,Thurs,4440,4675,1596,420,-256,-287,31
2017-01-30T22:30:00Z,30/01/17,22,30,Thurs,4336,4579,1582,424,-268,-287,19
2017-01-30T22:45:00Z,30/01/17,22,45,Thurs,4219,4539,1517,419,-349,-287,-62
2017-01-30T23:00:00Z,30/01/17,23,0,Thurs,4144,4490,1424,426,-369,-287,-82
2017-01-30T23:15:00Z,30/01/17,23,15,Thurs,4132,4549,1315,437,-444,-287,-157
2017-01-30T23:30:00Z,30/01/17,23,30,Thurs,4027,4400,1205,442,-397,-287,-110
2017-01-30T23:45:00Z,30/01/17,23,45,Thurs,3931,4301,1171,434,-399,-287,-112
2017-01-31T00:00:00Z,31/01/17,0,0,Fri,3830,4202,1133,446,-398,-287,-111
2017-01-31T00:15:00Z,31/01/17,0,15,Fri,3751,4196,1035,453,-471,-287,-184
2017-01-31T00:30:00Z,31/01/17,0,30,Fri,3672,4123,989,458,-472,-287,-185
2017-01-31T00:45:00Z,31/01/17,0,45,Fri,3622,4219,931,468,-473,-287,-186
2017-01-31T01:00:00Z,31/01/17,1,0,Fri,3556,4290,871,457,-535,-349,-186
2017-01-31T01:15:00Z,31/01/17,1,15,Fri,3530,4334,784,466,-606,-424,-182
2017-01-31T01:30:00Z,31/01/17,1,30,Fri,3492,4365,724,473,-680,-499,-181
2017-01-31T01:45:00Z,31/01/17,1,45,Fri,3442,4354,659,477,-714,-500,-214
2017-01-31T02:00:00Z,31/01/17,2,0,Fri,3414,4323,629,479,-711,-500,-211
2017-01-31T02:15:00Z,31/01/17,2,15,Fri,3386,4248,533,487,-663,-500,-163
2017-01-31T02:30:00Z,31/01/17,2,30,Fri,3368,4150,514,495,-585,-500,-85
2017-01-31T02:45:00Z,31/01/17,2,45,Fri,3336,4118,484,497,-583,-500,-83
2017-01-31T03:00:00Z,31/01/17,3,0,Fri,3311,4091,418,512,-584,-500,-84
2017-01-31T03:15:00Z,31/01/17,3,15,Fri,3296,4077,374,513,-585,-500,-85
2017-01-31T03:30:00Z,31/01/17,3,30,Fri,3283,4063,306,510,-584,-500,-84
2017-01-31T03:45:00Z,31/01/17,3,45,Fri,3272,4053,281,516,-584,-500,-84
2017-01-31T04:00:00Z,31/01/17,4,0,Fri,3282,4059,269,523,-584,-500,-84
2017-01-31T04:15:00Z,31/01/17,4,15,Fri,3285,4061,240,537,-584,-500,-84
2017-01-31T04:30:00Z,31/01/17,4,30,Fri,3272,4050,217,538,-584,-500,-84
2017-01-31T04:45:00Z,31/01/17,4,45,Fri,3276,4050,211,535,-584,-500,-84
2017-01-31T05:00:00Z,31/01/17,5,0,Fri,3289,4063,189,541,-584,-500,-84
2017-01-31T05:15:00Z,31/01/17,5,15,Fri,3314,4108,163,556,-603,-480,-123
2017-01-31T05:30:00Z,31/01/17,5,30,Fri,3334,4066,150,558,-540,-456,-84
2017-01-31T05:45:00Z,31/01/17,5,45,Fri,3390,4045,132,558,-465,-381,-84
2017-01-31T06:00:00Z,31/01/17,6,0,Fri,3503,4084,135,565,-391,-306,-85
2017-01-31T06:15:00Z,31/01/17,6,15,Fri,3687,4267,147,563,-389,-231,-158
2017-01-31T06:30:00Z,31/01/17,6,30,Fri,3804,4385,139,582,-392,-156,-236
2017-01-31T06:45:00Z,31/01/17,6,45,Fri,3979,4441,155,585,-273,-81,-192
2017-01-31T07:00:00Z,31/01/17,7,0,Fri,4188,4502,171,592,-123,-6,-117
2017-01-31T07:15:00Z,31/01/17,7,15,Fri,4519,4545,212,587,27,69,-42
2017-01-31T07:30:00Z,31/01/17,7,30,Fri,4711,4486,184,587,204,144,60
2017-01-31T07:45:00Z,31/01/17,7,45,Fri,4898,4588,150,591,288,155,133
2017-01-31T08:00:00Z,31/01/17,8,0,Fri,5002,4586,126,584,391,219,172
2017-01-31T08:15:00Z,31/01/17,8,15,Fri,5025,4505,133,590,496,254,242
2017-01-31T08:30:00Z,31/01/17,8,30,Fri,4992,4445,137,585,519,231,288
2017-01-31T08:45:00Z,31/01/17,8,45,Fri,4972,4490,122,585,455,188,267
2017-01-31T09:00:00Z,31/01/17,9,0,Fri,5010,4530,121,588,455,188,267
2017-01-31T09:15:00Z,31/01/17,9,15,Fri,5089,4649,104,590,413,146,267
2017-01-31T09:30:00Z,31/01/17,9,30,Fri,5118,4646,100,582,442,176,266
2017-01-31T09:45:00Z,31/01/17,9,45,Fri,5133,4659,108,579,445,177,268
2017-01-31T10:00:00Z,31/01/17,10,0,Fri,5116,4644,105,583,444,177,267
2017-01-31T10:15:00Z,31/01/17,10,15,Fri,5098,4564,103,584,505,167,338
2017-01-31T10:30:00Z,31/01/17,10,30,Fri,5098,4583,102,596,487,136,351
2017-01-31T10:45:00Z,31/01/17,10,45,Fri,5108,4599,117,591,478,128,350
2017-01-31T11:00:00Z,31/01/17,11,0,Fri,5114,4597,121,583,487,136,351
2017-01-31T11:15:00Z,31/01/17,11,15,Fri,5101,4532,143,579,536,136,400
2017-01-31T11:30:00Z,31/01/17,11,30,Fri,5100,4603,149,570,468,136,332
2017-01-31T11:45:00Z,31/01/17,11,45,Fri,5099,4586,179,568,485,154,331
2017-01-31T12:00:00Z,31/01/17,12,0,Fri,5102,4543,181,573,529,198,331
2017-01-31T12:15:00Z,31/01/17,12,15,Fri,5110,4557,204,561,530,273,257
2017-01-31T12:30:00Z,31/01/17,12,30,Fri,5132,4577,195,563,530,344,186
2017-01-31T12:45:00Z,31/01/17,12,45,Fri,5119,4583,204,561,514,343,171
2017-01-31T13:00:00Z,31/01/17,13,0,Fri,5091,4532,210,561,534,343,191
2017-01-31T13:15:00Z,31/01/17,13,15,Fri,5044,4523,211,560,496,301,195
2017-01-31T13:30:00Z,31/01/17,13,30,Fri,4975,4465,222,562,483,288,195
2017-01-31T13:45:00Z,31/01/17,13,45,Fri,4958,4526,236,566,408,213,195
2017-01-31T14:00:00Z,31/01/17,14,0,Fri,4950,4503,237,568,420,239,181
2017-01-31T14:15:00Z,31/01/17,14,15,Fri,4955,4531,231,576,397,240,157
2017-01-31T14:30:00Z,31/01/17,14,30,Fri,4949,4526,229,573,397,240,157
2017-01-31T14:45:00Z,31/01/17,14,45,Fri,4943,4525,232,567,390,233,157
2017-01-31T15:00:00Z,31/01/17,15,0,Fri,4963,4533,242,566,405,248,157
2017-01-31T15:15:00Z,31/01/17,15,15,Fri,5002,4570,248,568,406,249,157
2017-01-31T15:30:00Z,31/01/17,15,30,Fri,5021,4524,229,570,476,318,158
2017-01-31T15:45:00Z,31/01/17,15,45,Fri,5041,4540,225,582,476,319,157
2017-01-31T16:00:00Z,31/01/17,16,0,Fri,5067,4565,198,575,476,319,157
2017-01-31T16:15:00Z,31/01/17,16,15,Fri,5157,4554,199,575,576,350,226
2017-01-31T16:30:00Z,31/01/17,16,30,Fri,5245,4564,219,575,651,350,301
2017-01-31T16:45:00Z,31/01/17,16,45,Fri,5331,4653,257,580,650,276,374
2017-01-31T17:00:00Z,31/01/17,17,0,Fri,5426,4687,280,567,705,308,397
2017-01-31T17:15:00Z,31/01/17,17,15,Fri,5569,4714,296,569,830,383,447
2017-01-31T17:30:00Z,31/01/17,17,30,Fri,5846,4914,327,548,905,458,447
2017-01-31T17:45:00Z,31/01/17,17,45,Fri,5971,5017,345,540,928,480,448
2017-01-31T18:00:00Z,31/01/17,18,0,Fri,6014,5065,377,522,927,480,447
2017-01-31T18:15:00Z,31/01/17,18,15,Fri,5958,5004,391,520,927,480,447
2017-01-31T18:30:00Z,31/01/17,18,30,Fri,5908,4958,399,510,926,480,446
2017-01-31T18:45:00Z,31/01/17,18,45,Fri,5846,4895,448,505,927,480,447
2017-01-31T19:00:00Z,31/01/17,19,0,Fri,5752,4804,437,518,926,480,446
2017-01-31T19:15:00Z,31/01/17,19,15,Fri,5683,4761,443,529,896,470,426
2017-01-31T19:30:00Z,31/01/17,19,30,Fri,5620,4690,465,528,905,480,425
2017-01-31T19:45:00Z,31/01/17,19,45,Fri,5526,4668,469,520,832,413,419
2017-01-31T20:00:00Z,31/01/17,20,0,Fri,5440,4659,481,527,757,338,419
2017-01-31T20:15:00Z,31/01/17,20,15,Fri,5344,4462,442,535,858,411,447
2017-01-31T20:30:00Z,31/01/17,20,30,Fri,5262,4367,432,555,870,424,446
2017-01-31T20:45:00Z,31/01/17,20,45,Fri,5194,4331,458,535,840,445,395
2017-01-31T21:00:00Z,31/01/17,21,0,Fri,5136,4417,454,532,692,370,322
2017-01-31T21:15:00Z,31/01/17,21,15,Fri,5001,4349,446,517,629,343,286
2017-01-31T21:30:00Z,31/01/17,21,30,Fri,4890,4283,422,531,583,314,269
2017-01-31T21:45:00Z,31/01/17,21,45,Fri,4761,4236,405,542,504,265,239
2017-01-31T22:00:00Z,31/01/17,22,0,Fri,4654,4258,425,533,374,209,165
2017-01-31T22:15:00Z,31/01/17,22,15,Fri,4511,4174,408,530,318,155,163
2017-01-31T22:30:00Z,31/01/17,22,30,Fri,4378,4103,422,534,255,155,100
2017-01-31T22:45:00Z,31/01/17,22,45,Fri,4243,4029,423,525,193,116,77
2017-01-31T23:00:00Z,31/01/17,23,0,Fri,4181,4063,455,529,96,41,55
2017-01-31T23:15:00Z,31/01/17,23,15,Fri,4158,4043,473,529,90,39,51
2017-01-31T23:30:00Z,31/01/17,23,30,Fri,4055,3949,488,534,83,32,51
2017-01-31T23:45:00Z,31/01/17,23,45,Fri,3952,3941,493,535,64,32,32
2017-02-01T00:00:00Z,01/02/17,0,0,Sat,3851,3919,492,544,-15,1,-16
2017-02-01T00:15:00Z,01/02/17,0,15,Sat,3763,3982,493,537,-166,-74,-92
2017-02-01T00:30:00Z,01/02/17,0,30,Sat,3688,3946,531,523,-203,-100,-103
2017-02-01T00:45:00Z,01/02/17,0,45,Sat,3616,3984,519,525,-311,-174,-137
2017-02-01T01:00:00Z,01/02/17,1,0,Sat,3577,4019,555,509,-386,-249,-137
2017-02-01T01:15:00Z,01/02/17,1,15,Sat,3568,4160,615,495,-538,-324,-214
